name,town,description,map_location,website,phone_number,country,province,type,image_url,is_approved,is_premium
Camping Playa Montroig,Mont-roig del Camp,Beachfront camping resort with pools,"40.960077, 0.996306",https://www.playamontroig.com,+34 977 81 60 00,ES,Tarragona,,,TRUE,FALSE
Camping Vilanova Park,Vilanova i la Geltrú,Well-equipped campsite with family facilities,"41.210116, 1.726946",https://vilanovapark.com,+34 938 17 92 00,ES,Barcelona,,,TRUE,FALSE
Camping Albarracín,Albarracín,Spacious pitches near a UNESCO town,"40.404768, -1.439227",https://www.campingalbarracin.com,+34 978 71 50 33,ES,Teruel,,,TRUE,FALSE
Camping Aranjuez,Aranjuez,Close to Royal Gardens and historic sites,"40.031933, -3.603496",http://www.campingaranjuez.com,+34 916 97 46 45,ES,Madrid,,,TRUE,FALSE
Camping La Bella Vista,Manilva,Seafront camping near beaches,"36.529064, -5.249017",https://www.labellavista.es,+34 952 89 23 74,ES,Málaga,,,TRUE,FALSE
Camping Alegría del Mar,Peñíscola,Family-oriented campsite close to the sea,"40.349590, 0.417323",https://www.campingalegriadelmar.com,+34 964 48 16 17,ES,Castellón,,,TRUE,FALSE
Camping Sitges,Sitges,Beachside site with pools and restaurants,"41.234822, 1.809350",https://www.campingsitges.com,+34 938 94 74 11,ES,Barcelona,,,TRUE,FALSE
Camping El Pinar,Blanes,Shaded camping next to the beach,"41.675494, 2.785066",http://www.campingelpinar.com,+34 972 33 04 37,ES,Girona,,,TRUE,FALSE
Camping Colombres,Colombres,Rural site near the coast,"43.488562, -5.226607",https://campingcolombres.es,+34 985 68 22 44,ES,Asturias,,,TRUE,FALSE
Camping La Viñuela,Viñuela,Peaceful site near the lake,"36.804345, -4.113898",https://www.campinglaviñuela.com,+34 952 54 22 26,ES,Málaga,,,TRUE,FALSE
Camping Tucan,Miami Platja,Modern facilities near the beach,"41.066807, 0.982165",https://www.campingtucan.com,+34 977 37 21 00,ES,Tarragona,,,TRUE,FALSE
Camping Las Palmeras,Sant Pere Pescador,Popular campsite close to natural parks,"42.143629, 3.058934",https://www.piuretedelaspalmeras.com,+34 972 57 09 23,ES,Girona,,,TRUE,FALSE
